00000000000001 2
00000000001075 13
00000000001163 3
00000000001164 14
00000000001165 8
00000000001205 9
00000000001313 5
00000000001473 14
00000000002503 14
00000000003113 14
00000000003278 14
00000000003556 7
00000000003656 14
00000000003743 0
00000000003744 3
00000000004011 12
00000000004017 9
00000000004053 2
00000000004065 4
00000000004067 12
00000000004072 8
00000000004087 5
00000000004090 7
00000000004135 5
00000000004229 14
00000000004235 3
00000000004279 9
00000000004281 3
00000000004303 7
00000000004394 6
00000000004408 8
00000000004409 7
00000000004414 4
00000000004418 3
00000000004427 7
00000000004449 12
00000000004459 0
00000000004515 7
00000000004543 14
00000000004545 15
00000000004547 4
00000000004558 8
00000000004567 15
00000000004585 0
00000000004593 3
00000000004596 1
00000000004599 13
00000000004608 0
00000000004612 10
00000000004626 14
00000000004627 6
00000000004647 13
00000000004663 1
00000000004682 9
00000000004685 4
00000000004709 10
00000000004712 6
00000000004719 9
00000000004737 11
00000000004745 9
00000000004763 14
00000000004776 10
00000000004778 8
00000000004782 7
00000000004801 0
00000000004900 4
00000000004927 1
00000000006097 1
00000000006239 10
00000000006242 5
00000000008086 8
00000000011402 3
00000000014992 6
00000000035576 6
00000000036566 12
00000000040112 15
00000000040488 4
00000000040617 6
00000000043229 11
00000000043984 14
00000000045988 13
00000000046930 3
00000000094139 2
00000000094173 10
00000000094782 2
00000000094901 2
00000000156846 0
00000000156848 5
00000000432436 10
00000000473644 10
00000000820295 7
00000000940795 13
00000001292060 14
00000001838077 15
00000093495028 13
00000105001025 0
00000360000016 15
00000360000030 15
00000360000061 5
00000360000078 12
00000360000085 5
00000360000092 15
00000360020007 15
00000360053005 0
00000360054002 0
00000360055009 9
00000360061000 6
00000360062007 7
00000360063004 8
00000360064001 5
00000360065008 6
00000360066005 10
00000360067002 12
00000360071009 11
00000360080025 4
00000360081022 15
00000360082043 3
00000370000037 6
00000370000051 6
00000370000075 6
00000370004356 9
00000433821487 7
00000433821494 2
00000433821500 8
00000433821517 9
00000450193000 0
00000450193024 3
00000450193031 3
00000450193123 10
00000450193130 5
00000518100025 5
00000518100087 2
00000518100100 13
00000518100162 7
00000518100186 12
00000518200022 8
00000518200046 12
00000518200053 15
00000518200206 10
00000518200220 8
00000518300067 0
00000518300098 2
00000518300111 1
00000518400019 4
00000518400026 4
00000518400040 12
00000518400057 10
00000518400064 13
00000518400071 6
00000518400088 10
00000518400095 10
00000518400101 0
00000518400118 4
00000518400125 2
00000518400132 12
00000518500016 9
00000518500030 0
00000518600013 10
00000518600020 9
00000518600044 12
00000518600068 11
00000518600082 2
00000518600105 14
00000518600136 2
00000518600143 1
00000518600204 5
00000518600228 2
00000518600327 13
00000518800017 4
00000518800079 8
00000518900090 13
00000518900106 5
00000518900113 13
00000564560804 0
00000609003006 15
00000609011001 11
00000609027002 3
00000609050000 5
00000609051007 5
00000609061006 5
00000609063000 3
00000609080007 2
00000609082001 5
00000609100002 14
00000609100224 7
00000609103027 7
